model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
EASER_neighborhood=10020_l2_norm=550$0	0.0722995966441359	0.09311024078057867	0.019666991779294974	0.09396957542944724	0.21387111874925435	8699.0	0.02683131285241268	0.3163468580492713	0.07339417583948725	47.083029120802564	0.003344091805412411	-0.32535240471339016	1.3497348464966543	-0.6968463577831082	3.407655266082233
EASER_neighborhood=10020_l2_norm=0$9	0.056395796357111866	0.06761291234098588	0.014441967395847848	0.07866929410749948	0.4911678831538172	9869.0	0.021239363211488966	0.26246399154798383	0.19060192280897312	24.304089452417447	0.006166234476200301	-0.0398662053209398	0.16538622656458934	-0.208958464840298	1.0218298555377205
EASER_neighborhood=10020_l2_norm=0$5	0.052907740863427054	0.06486640657733588	0.013640796990385956	0.07211973986566435	0.4996700041691715	9881.0	0.01965734131619337	0.24323208474882282	0.19500487668942457	23.99332590218754	0.0003673557080758408	-0.03457692937988254	0.14344349632206832	-0.18956024071034805	0.9269704078692843
EASER_neighborhood=10020_l2_norm=0$6	0.05399222766961757	0.06593373530158951	0.013933398355858995	0.07398302779381224	0.49806869247440577	9878.0	0.020140200292794445	0.24916250325682834	0.19418977288560685	24.042434164692768	0.0016049347560071064	-0.035501879162444294	0.14728068004868908	-0.19339477338719854	0.9457216940363009
EASER_neighborhood=10020_l2_norm=0$1	0.04613696702735408	0.05958292609447815	0.012135989967953184	0.06065938148981203	0.5062883308393724	9927.0	0.01678589197066257	0.20832966283784082	0.19757558868608052	24.039689285216664	0.008785474449927985	-0.03462182985476412	0.14362976737675864	-0.162492951226697	0.7946083878668152
EASER_neighborhood=10020_l2_norm=120$0	0.07500644799313452	0.09566294794040499	0.02049602898146858	0.0988220472806651	0.22849547820962623	8678.0	0.02815858044237077	0.3350161534055022	0.07358227671729135	41.4850355301658	0.004374467885108466	-0.2807572530609442	1.1647304349782173	-0.5676000504986745	2.775626620570441
EASER_neighborhood=10020_l2_norm=500$0	0.07246913182596522	0.09330248850313154	0.019722725372718408	0.0942018816722732	0.21409541739720594	8691.0	0.02689995756453096	0.31721671628847836	0.07324090845757279	46.818754354186986	0.003020072012717978	-0.32426581322125436	1.3452270869731486	-0.6903050961578925	3.3756677779149693
EASER_neighborhood=10020_l2_norm=250$0	0.07368646415627936	0.09455694989548291	0.020182527518461755	0.09608902778054233	0.2174694651153467	8656.0	0.027492888401481095	0.325370429613057	0.07223073707677304	44.43435279364637	0.0005744979414948059	-0.3091972138509756	1.2827145210190734	-0.6366216386819846	3.1131497715767384
EASER_neighborhood=10020_l2_norm=90$0	0.07532693624972	0.0953773018068199	0.020475128883934796	0.09991302684280252	0.2361212178121157	8724.0	0.028347003470867906	0.3381623586823256	0.07560261947889091	40.24079002368678	0.005779199218738859	-0.2668560660375881	1.1070609164460905	-0.5416605647435088	2.6487796847347416
EASER_neighborhood=10020_l2_norm=400$0	0.07286926052222431	0.09376976279912953	0.019875992754632855	0.09479869556851583	0.214758196016672	8687.0	0.02709218620358255	0.31983329575100355	0.0728856067994984	46.16520830430542	0.0021186736606073064	-0.32094317808001294	1.3314430289260637	-0.6736136009763077	3.2940445322467795
EASER_neighborhood=10020_l2_norm=40$0	0.0752061047500505	0.09373981034854678	0.02034972829873206	0.10125010781796347	0.26983211763887993	9011.0	0.028553422976736787	0.34357463618480855	0.08619200222934373	36.71119548557893	0.010640903697105977	-0.22209927267556828	0.9213859291307683	-0.4665488364263771	2.2814750792278886
EASER_neighborhood=10020_l2_norm=160$0	0.0743634158377514	0.09532801420806872	0.020398495192977567	0.09746760484882262	0.22271184123162935	8633.0	0.027860047212093054	0.3306777575779451	0.072530305141424	42.68225581719381	0.0034359945600253156	-0.29362572916202256	1.218115719252466	-0.5948929007280226	2.9090916574062646
EASER_neighborhood=10020_l2_norm=180$0	0.07418432954769012	0.09519793899787649	0.02037759509544378	0.09700324117385563	0.22083892770379654	8635.0	0.027767983684218712	0.3292033649728974	0.07218197018252752	43.16442803399749	0.003067121009505361	-0.29841211978440546	1.2379722136824558	-0.6068476202499684	2.967551549574022
EASER_neighborhood=10020_l2_norm=30$0	0.07471093523780668	0.09232295571459607	0.02008499372997074	0.10116896788904592	0.286644561622454	9172.0	0.02840787720687584	0.34278442284335825	0.09287306674097813	35.43961265152571	0.011884462197641263	-0.20499219174566308	0.850416657293752	-0.43790262172284644	2.1413919413919418
EASER_neighborhood=10020_l2_norm=100$0	0.0751352599746834	0.09545025862876656	0.02047512888393479	0.09926780544552594	0.2332810407891157	8708.0	0.028232592476944988	0.3365291168382717	0.07477358227671731	40.67855649993033	0.004814980963650697	-0.27181307846452124	1.1276252408839034	-0.5493296300972099	2.6862822570687737
EASER_neighborhood=10020_l2_norm=60$0	0.07553972963947148	0.09506399840639793	0.020468162184756864	0.10089193101419658	0.2504800527875397	8815.0	0.0285298720521924	0.3417943213846293	0.07921136965305837	38.41485300264734	0.007861236274156594	-0.24484585325060768	1.0157508454368902	-0.500382948280941	2.4469276042309756
EASER_neighborhood=10020_l2_norm=140$0	0.07455913789878627	0.09518386737136234	0.020398495192977567	0.09801468425371171	0.22511537400382686	8649.0	0.02796012271359879	0.3322360877471738	0.07287167340114253	42.15515535739166	0.003978133539915857	-0.28812093094153324	1.1952788879474316	-0.5827126204603795	2.8495287484051537
EASER_neighborhood=10020_l2_norm=1$0	0.057055088912706026	0.06825089887645744	0.014623101574474016	0.07979378017520695	0.48892853195759567	9863.0	0.02153809331663807	0.2660975155397554	0.18952208443639404	24.423024940783055	0.0075034299693039	-0.04140180156189186	0.17175669663499868	-0.21527416571981647	1.0527143268716306
EASER_neighborhood=10020_l2_norm=200$0	0.07407849621013683	0.09508923888743472	0.020335794900376205	0.09683474104889739	0.21955085532555696	8636.0	0.027706788131671763	0.32823978790276165	0.07209836979239236	43.59050438902048	0.0024742912936517175	-0.30204905824981837	1.2530601691123724	-0.6163211715692464	3.0138782565748863
EASER_neighborhood=10020_l2_norm=0$3	0.05069538606052455	0.06321363581805187	0.013180994844642607	0.06834080318300745	0.5045392797852957	9897.0	0.018713549543090346	0.23182581190401247	0.19723422042636202	23.849331196878918	0.0026557169175950093	-0.032888671524332794	0.1364397046657119	-0.16880865210621562	0.8254928592007245
EASER_neighborhood=10020_l2_norm=10$0	0.0713410107363222	0.08530546106451846	0.018740420788630346	0.09912479459295678	0.3734488754493115	9671.0	0.027299019742048396	0.33262478024771824	0.13107147833356556	30.494830709209978	0.016000158094721773	-0.13285508880081845	0.5511535808282655	-0.35850523923746996	1.753130016051365
EASER_neighborhood=10020_l2_norm=0$8	0.05584494080638399	0.06740893636575533	0.014358367005712693	0.07748514876667308	0.49357019072150776	9871.0	0.020982744985684868	0.25937194105936245	0.19183502856346665	24.21262365891041	0.0051366942945759095	-0.03824978822520065	0.15868046859573734	-0.19993603501241428	0.9777091822035646
EASER_neighborhood=10020_l2_norm=300$0	0.07333443956810354	0.09416282358532731	0.02006409363243695	0.09540631890673691	0.21603912994459074	8670.0	0.027309948312764256	0.32289085140641655	0.07230737076773025	45.126605824160514	0.0005075581256597517	-0.3148187533061571	1.306035657066303	-0.6506064049152043	3.181536815244681
EASER_neighborhood=10020_l2_norm=20$0	0.07399083856942741	0.09047502857241756	0.01973665877107427	0.1011649869180871	0.31593228404557205	9397.0	0.028205188926647376	0.3416028858858801	0.10480702243277136	33.61510380381775	0.014042674099185248	-0.17899481678919282	0.7425657166280502	-0.4051963135967681	1.9814545005556246
EASER_neighborhood=10020_l2_norm=0$4	0.05173072890272843	0.063874617738613	0.013369095722446706	0.07026961125818586	0.5020741919598963	9888.0	0.019160231382811498	0.23720468417716947	0.19630764943569737	23.900592169430123	0.0018231298609047986	-0.033373596653054595	0.1384514320563675	-0.17918444640828182	0.8762316335350043
EASER_neighborhood=10020_l2_norm=350$0	0.0729672549186749	0.09387168093347767	0.019938693047234224	0.09484923178318747	0.21533977458990572	8677.0	0.027141121813498276	0.320595629695551	0.07269053922251638	45.67339417583949	0.00180254489336594	-0.3180426074026589	1.3194099187930688	-0.664816731894121	3.2510268757459775
EASER_neighborhood=10020_l2_norm=70$0	0.07532391722422073	0.09492089729897246	0.020440295388045142	0.10039146214428366	0.24460260909038067	8777.0	0.028429835888911233	0.3400754608400228	0.07761599554131253	39.09472620872231	0.007644560504943512	-0.25343082404797734	1.0513658710936817	-0.5157210789883432	2.5219327488990415
EASER_neighborhood=10020_l2_norm=450$0	0.07262028290413566	0.09344383211145299	0.019764525567785983	0.09444292393470322	0.2143699438671376	8694.0	0.0269671844428011	0.3181530148147045	0.0730737076773025	46.5249686498537	0.002844770901719987	-0.3229547193547105	1.3397879721761905	-0.6826360308041913	3.338165205580936
EASER_neighborhood=10020_l2_norm=0$7	0.054989246351054774	0.0667567526674695	0.01417723282708653	0.07578975275958694	0.4956692608691665	9873.0	0.020591560434549853	0.25467656183742376	0.1928312665459106	24.14578514699735	0.0041926842497996344	-0.03702849530842002	0.15361389590816046	-0.19497369860707828	0.9534428118697785
EASER_neighborhood=10020_l2_norm=80$0	0.07548677900810613	0.09548657996228727	0.0205238957781803	0.10027568223889807	0.23987869891291846	8737.0	0.02843690118624678	0.3396026361084416	0.07638288978681901	39.71788351678975	0.005737084134511697	-0.2608932829733063	1.0823241203832148	-0.5292547237301688	2.5881137589002763
EASER_neighborhood=10020_l2_norm=0$2	0.04874408690273938	0.06159272353869485	0.012707259300543403	0.06506653750627556	0.5058182792529775	9905.0	0.017879129530808967	0.2215887598992444	0.1977497561655288	23.873164274766616	0.005475160088665089	-0.03354421845760482	0.1391592620641908	-0.16700416614063887	0.8166687245338934
EASER_neighborhood=10020_l2_norm=50$0	0.07560066991719958	0.09480955303909203	0.02048906228229065	0.10137302029631695	0.2584591422041468	8891.0	0.028627639485805285	0.34369961520455616	0.08196321582834053	37.67599275463285	0.009755762834169068	-0.2346803857374041	0.9735790786549993	-0.48188696713377943	2.3564802238959546
