model	nDCG	Gini	EPC
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=229	0.0113676303237304	0.0017346670697279	0.0043517764834369
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=232	0.0115591441894521	0.0014651498922285	0.0044174425146468
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=227	0.011568264907188	0.0014426178111665	0.0044107136022856
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=284	0.0112717656096325	0.001826031724063	0.0043145137967459
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=231	0.0115263152199254	0.0014817923693345	0.0044000947062699
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=267	0.0112806264706815	0.0017396930505301	0.004316854969355
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=248	0.0115758602177252	0.0012072964947482	0.0044333299599649
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=232	0.011650225938063	0.0010152954057763	0.0044626724954063
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=90	0.011593787947523	0.0010283220693555	0.0044420919150513
