model	nDCG	Gini	APLT	EPC
UserKNN_nn=10_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0310847390862535	0.5035660043047929	0.0109294121004742	0.2472899540197854
UserKNN_nn=30_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0427291931307262	0.5069841496502889	0.0165964404291296	0.2082555385258464
UserKNN_nn=20_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0461988577172743	0.5028982956626524	0.016437682846454	0.2089661418419952
UserKNN_nn=20_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0355014131879063	0.4874298300972338	0.0140327699790347	0.2302703079281036
UserKNN_nn=50_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.05206133665989	0.4589963185872715	0.0197906663397306	0.1723213041660861
UserKNN_nn=30_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0537048429186594	0.4413297666021564	0.0192839951160316	0.1755468858854675
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.062182176115658	0.3684130067877306	0.022711598301012	0.1378291765361572
UserKNN_nn=100_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.063686558329937	0.3501651988712043	0.023910013043202	0.122230737076773
UserKNN_nn=150_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0663370318697478	0.2906509442008635	0.0247648004565232	0.0968580186707538
UserKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0698894687386734	0.2762713753162562	0.0259871312073447	0.0958687473874878
UserKNN_nn=150_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0720848305992601	0.2403411419932338	0.026936981541737	0.0822976173888811
UserKNN_nn=200_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.072867346347251	0.2233171909974075	0.0272448539543079	0.0764037898843528
UserKNN_nn=250_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0732895761425857	0.2142609549032542	0.0274099328082785	0.0736310436115368
